,UTC Gregorian,altitude (km)_x,x-coordinate,y-coordinate,z-coordinate,x velocity,y velocity,z velocity,radial (km),radial (m),altitude (km)_y,latitude (deg),longitude (deg),elevation (deg)
1044,2024-03-20 12:33:14.322,513.2036699610708,-939.8078213119918,-2289.488000906705,33.88882736823302,-5.108130843062452,5.599372940978106,1.251190245528593,2475.1045432295114,2475104.5432295115,513.2036699610708,70.12545188962146,-118.0498545137064,81.15944683024094
1045,2024-03-20 12:35:19.845,513.8484793419257,-1563.531903870191,-1561.595939584896,130.1004773411216,-4.812840401093859,5.979603775645274,0.2795685715868077,2213.6259908016,2213625.9908016,513.8484793419257,76.9335608651992,-133.1990631455884,81.1703655970404
1046,2024-03-20 12:37:23.768,513.8550766006138,-2136.874710726671,-803.205491518506,105.0029106556966,-4.425232737536494,6.240615190756427,-0.6838444482529299,2285.2567037851236,2285256.703785124,513.8550766006138,81.53720807885432,-168.8614519954711,81.17047717228616
1091,2024-03-20 14:12:00.228,513.7510864365786,-2406.46126042447,-453.6295948435933,44.41820999670438,-1.605599907586833,7.510916795993674,-0.073486119209423,2449.246534063282,2449246.534063282,513.7510864365786,81.611345686381,165.7312284348422,81.16871812714709
1136,2024-03-20 15:46:04.937,513.760039974899,-2548.68389147204,-260.9105686133221,0.4181665213542374,1.343831603249565,7.515983571281875,0.837396381913909,2562.003918483816,2562003.918483816,513.760039974899,81.00227401276979,152.9650908557655,81.16886960803913
1407,2024-03-21 01:15:54.271,513.0657479734828,-368.9949592599797,-229.5399986064247,478.3814771275676,3.237608655794901,-6.965786396711632,-0.0671930591508216,646.2930670974779,646293.0670974778,513.0657479734828,79.96617065271289,-51.98804662708094,81.1571078735555
1408,2024-03-21 01:17:54.054,511.7433740467141,13.82798103402213,-1062.665744641772,408.5214645703464,3.145147966435747,-6.923618814230088,-1.097575569170538,1138.5690514453788,1138569.051445379,511.7433740467141,74.29100804862655,-75.61222095183827,81.13461985581168
1452,2024-03-21 02:50:27.264,512.9423529870455,-554.8534827022286,-691.0189892960647,434.8812259301815,0.2595039577736875,-7.639950581811846,-0.7579142808168103,987.1632648660933,987163.2648660933,512.9423529870455,79.93130124825846,-75.87922537729948,81.15501423285016
1453,2024-03-21 02:52:30.481,511.5670584262989,-526.0251266141418,-1623.101479510445,276.5978665121719,0.2082132584254125,-7.465013649055832,-1.807246546620371,1728.486976050877,1728486.976050877,511.5670584262989,74.05541201368264,-99.77284544138506,81.13161289326331
1496,2024-03-21 04:23:13.865,513.4599649542788,-617.7058979089611,-281.2878331666608,459.0421465203638,-2.723291756331816,-7.161813316847629,-0.5417084372788604,819.3919170220892,819391.9170220891,513.4599649542788,81.87625759564465,-57.73580757072682,81.16378996302014
1497,2024-03-21 04:25:16.352,512.6201597406753,-952.1939189347391,-1150.158063461946,328.3839001223522,-2.729549068705853,-7.003037413229631,-1.588408744549143,1528.8468909810417,1528846.8909810418,512.6201597406753,79.25783041107886,-104.2301785911205,81.14954294595645
1498,2024-03-21 04:27:32.626,510.972528844487,-1321.099023956637,-2083.747140133241,34.43607800049296,-2.673313125911028,-6.672046032598183,-2.717334013439245,2467.486700791049,2467486.700791049,510.972528844487,72.39521585108294,-126.7472272290974,81.12145859761294
1540,2024-03-21 05:55:47.062,513.5508457816777,-175.530954699329,23.53157207069516,490.2739824255804,-5.271906340412633,-5.585235685367124,-0.1142423494920569,521.2805662838531,521280.5662838531,513.5508457816777,78.5377473846034,-40.01841900620823,81.16532899800956
1541,2024-03-21 05:57:49.303,513.3191017185263,-822.2974065507952,-651.6388514186661,412.2108964322467,-5.29345776090142,-5.4437987615836,-1.160960706363218,1127.2639622714278,1127263.9622714277,513.3191017185263,81.88943856533638,-82.9270553763265,81.16140344191756
1542,2024-03-21 05:59:59.289,512.3761735939279,-1505.993903011092,-1343.402314673985,190.1419522342467,-5.207194784760918,-5.181066148399188,-2.249849628388788,2027.0425197754125,2027042.5197754125,512.3761735939279,78.79110304488567,-130.5932100722042,81.14539525389945
1585,2024-03-21 07:30:15.572,513.4777744122794,-254.5709079832072,-518.436107993309,468.2972848823995,-7.031454070155069,-3.053104959270774,-0.4889868607566986,743.5621643755629,743562.1643755629,513.4777744122794,78.38514491669721,-62.87201834448829,81.16409160186193
1586,2024-03-21 07:32:19.228,513.2446494567821,-1122.214818378429,-882.1526143834373,343.2283450753599,-6.979242683016717,-2.819922170117136,-1.530603156624614,1468.1161502125212,1468116.1502125212,513.2446494567821,81.88213760633045,-105.6557468065002,81.16014154647945
1587,2024-03-21 07:34:23.558,512.3565603663419,-1979.660153595603,-1215.296755922584,89.25123007476208,-6.791336422919354,-2.530569370751369,-2.548380210094636,2324.6432652688845,2324643.2652688846,512.3565603663419,79.11821469751304,-152.3356264972228,81.14506166737864
